param_set,lambda,n_hubs,config,abandonment_pct,avg_queue_wait_min,avg_true_wait_min,matched_riders,avg_earnings,total_earnings,avg_profit_per_hr,avg_idle_ratio,variance,cvar,fairness_effect,delta_cvar_cross,delta_profit
mle,1.4,1,mle_lam1.4_k1,2.078985390913469,0.1097357394316086,14.482024189631158,36597,117.0987255891138,593924.7361879852,16.73317292903126,0.3465668293189791,1313.7831545585857,31.530596054712323,0.022987328378883065,1.0823262784078373,0.8960814578210972
mle,1.4,2,mle_lam1.4_k2,1.62357669122572,0.0849204946426012,14.03446617205166,36719,115.2220528381485,593854.4603278174,16.48172870586934,0.36373063295297664,1350.0321725445895,28.288287714747206,-0.003969745764792254,-2.1599820615572796,-0.9805912931442009
mle,1.4,3,mle_lam1.4_k3,1.3918629550321198,0.07165864567733533,13.706705090021254,36840,114.28713549575133,595778.8373393517,16.349092203122034,0.3749456126083109,1390.607304431451,27.79003743632388,-0.03414399321849859,-2.658232339980607,-1.9155086355413715
mle,1.4,4,mle_lam1.4_k4,1.7887700534759359,0.08499030692668835,13.971789980530044,36731,115.82911745400307,593740.0560692197,16.54875121696931,0.36222975562344695,1343.6774940332814,29.237122855363467,0.0007559971464968784,-1.2111469209410188,-0.3735266772896324
mle,1.4,5,mle_lam1.4_k5,1.7960710944808234,0.0929702814068615,14.199348956549972,36743,115.9904871928185,595147.1897863518,16.594015673404197,0.35667820887519686,1381.3990966083272,26.68519525818006,-0.027296184510572807,-3.7630745181244265,-0.2121569384741946
mle,1.4,6,mle_lam1.4_k6,1.876675603217158,0.0973421842354629,14.297987012008011,36600,116.97691923587298,592839.0266874043,16.720773878336434,0.35043945531246024,1377.0182613797085,28.604179247481103,-0.02403831694255487,-1.8440905288233829,0.7742751045802834
mle,1.4,7,mle_lam1.4_k7,1.5568797981424813,0.08251846023281977,13.99888462399037,36674,114.70914330385035,595799.2903201988,16.37991840085791,0.36915209813717836,1380.7293968513359,28.022755554246043,-0.026798153198105634,-2.4255142220584425,-1.4935008274423467
mle,1.4,8,mle_lam1.4_k8,2.1567468844005155,0.10793072865910226,14.044012847024634,36429,113.78253307537403,591896.7370580958,16.23996881708985,0.37397068315429277,1432.3527739229391,25.060209029927375,-0.06518857811398715,-5.388060746377111,-2.4201110559186674
mle,1.4,9,mle_lam1.4_k9,1.993471047843305,0.10160936332079441,14.089799730311501,36627,115.52507108050251,593798.8653537829,16.50700702649379,0.3621574210670465,1372.0525051168245,27.95112700288764,-0.020345464909717226,-2.4971427734168437,-0.6775730507901869
mle,1.4,10,mle_lam1.4_k10,1.973012203644965,0.0980267082647648,14.032848758513516,36468,113.81551422718556,591840.6739813649,16.241824768883536,0.3744087493586869,1452.3796640381956,26.262002414481078,-0.08008184672370944,-4.186267361823408,-2.387129904107141
