param_set,lambda,n_hubs,config,abandonment_pct,avg_queue_wait_min,avg_true_wait_min,matched_riders,avg_earnings,total_earnings,avg_profit_per_hr,avg_idle_ratio,variance,cvar,fairness_effect,delta_cvar_cross,delta_profit
mle,2.6,1,mle_lam2.6_k1,1.7186914386678802,0.08512924703387979,13.924746833598736,36712,115.10923273177714,593848.5316632383,16.47836966902533,0.36594693431363007,1393.7518395189666,27.31638939056912,-0.03648246940933708,-3.1318803857353643,-1.0934113995155599
mle,2.6,2,mle_lam2.6_k2,2.0467209601371628,0.09263036230122593,14.25249849162267,36564,117.88903653321852,591685.0743602237,16.837507016077158,0.3460818707134613,1328.6013615363393,30.66259157480162,0.011967567668955237,0.21432179849713506,1.686392401925815
mle,2.6,3,mle_lam2.6_k3,1.8316580904897752,0.08395722588566766,13.906908391872852,36820,116.64636817447867,595946.2950034115,16.665510047837678,0.3597117491238641,1410.4551726581635,28.41410158056482,-0.04890412977138325,-2.034168195739664,0.44372404318596637
mle,2.6,4,mle_lam2.6_k4,1.4644855559422774,0.07039871383024432,13.805191615184143,36804,114.66332662439015,597281.2683864483,16.37226117455382,0.37246268147238537,1386.677041853601,28.27391885535809,-0.03122120011673446,-2.174350920946395,-1.5393175069025489
mle,2.6,5,mle_lam2.6_k5,1.5444738884873792,0.06877778037253111,13.841833589725589,36782,115.76335374709106,595718.2183825306,16.57089542195286,0.3639303081412733,1367.5199030166336,26.698155750754545,-0.016974733848097667,-3.7501140255499408,-0.4392903842016409
mle,2.6,6,mle_lam2.6_k6,2.15616160537973,0.10108420307148865,14.135167346188348,36666,115.07297100908143,593546.384464842,16.441994276872286,0.3634940490061089,1339.2129660455762,29.029167596956775,0.004076103970564571,-1.4191021793477105,-1.1296731222112726
mle,2.6,7,mle_lam2.6_k7,1.625080316984365,0.0705790791041691,13.811736597199031,36745,116.06854699873202,595315.5775564965,16.595435135718297,0.36315417444401876,1352.2358442576767,29.141872561015376,-0.005608536139222631,-1.3063972152891097,-0.134097132560683
mle,2.6,8,mle_lam2.6_k8,1.690291521797272,0.08082399741643922,14.081080312746867,36758,115.4860044522512,596369.7269914252,16.504258286036602,0.3624655954957629,1402.770403643538,26.61702971105671,-0.043189247007269005,-3.8312400652477763,-0.7166396790415064
mle,2.6,9,mle_lam2.6_k9,2.109998393402239,0.09486400696770227,13.955198308237412,36558,115.7138640810909,590950.7038621312,16.56154770357856,0.36248514716496383,1337.796296086498,28.852730585779657,0.005129629810595171,-1.5955391905248284,-0.4887800502017967
mle,2.6,10,mle_lam2.6_k10,1.2363519588953116,0.05955313395515874,13.862276258829684,36906,115.61645841512029,597852.706464587,16.550193493142746,0.36429686894764224,1370.0116569992406,29.06112601601632,-0.018827760511685332,-1.3871437602881649,-0.5861857161724089
