lambda,n_hubs,config,abandonment_pct,avg_queue_wait_min,avg_true_wait_min,matched_riders,avg_earnings,total_earnings,avg_profit_per_hr,avg_idle_time,variance,fairness_cv,cvar,fairness_effect,delta_cvar_cross,delta_profit
0.0,0,baseline,2.441710540453422,0.1278604285207747,15.199339301820729,36319,117.5920642959568,607245.420024321,16.789938535551027,2.364484923925118,1281.761385376679,0.3044567292929248,31.93874202512317,0.0,0.0,0.0
1.0,3,lam1_kmean_3,2.0327833495093284,0.10540679413559956,15.113587196318933,36338,118.67285726412918,611639.9063393218,16.96853408261338,2.3304066250165656,1233.5531810470532,0.2959562663805022,36.04270050352487,0.03761090393237165,4.103958478401701,1.080792968172375
1.0,4,lam1_kmean_4,2.029951872664211,0.10627490103741788,15.200727580008449,36438,118.04864639846137,611846.1342832253,16.90704081747072,2.3302290649876802,1280.2448008756,0.3030996946115306,32.523461266005306,0.0011832034561045646,0.5847192408821371,0.4565821025045693
1.1,3,lam1_kmean_3,2.9208322075114834,0.15582848368477292,15.620232904502107,35929,118.79773218800605,601829.3112644387,16.98820464277567,2.26241114493482,1268.5634393752146,0.29981126383384504,31.864906344989873,0.010296726170749726,-0.07383568013329622,1.2056678920492487
1.1,4,lam1_kmean_4,1.8700150894589354,0.09856057796575134,15.070882065233672,36418,118.01366965232289,612372.9318259035,16.855747613085857,2.365133142053311,1298.8407685996715,0.30538355114585813,32.4432177173156,-0.013324931939631801,0.5044756921924289,0.4216053563660864
1.2,3,lam1_kmean_3,2.6980636163707556,0.14273706193316615,15.49467161928735,36280,119.6883135980223,607178.8148827672,17.12764180047875,2.2331697059671414,1250.3214564910247,0.2954330609681926,34.67795469521061,0.024528690943841247,2.73921267008744,2.0962493020655018
1.2,4,lam1_kmean_4,2.51624461855229,0.13508960844347256,15.289930746672155,36456,117.97198592335107,610740.9711251885,16.865153546477266,2.337131886078179,1284.4466427561902,0.30379396603237413,32.00898065661979,-0.002094974470401967,0.0702386314966219,0.3799216273942676
1.3,3,lam1_kmean_3,2.556780271691265,0.13332564673414846,15.438416379909034,36511,118.53408907509083,613295.37687452,16.995017823300905,2.276440094616243,1298.5150471947732,0.3040046501522286,33.62620462458193,-0.013070811782311953,1.6874625994587618,0.9420247791340302
1.3,4,lam1_kmean_4,2.4008574490889605,0.13029018679963114,15.45869479491763,36424,118.88699757666281,610246.9585610102,17.011186345330593,2.2689034148521463,1286.401360251204,0.30168511719663493,32.21076032855986,-0.003619998954143444,0.2720183034366883,1.2949332807060046
1.4,3,lam1_kmean_3,1.9437285223367697,0.10552972264008909,14.85566666239414,36524,116.35384311998891,612602.9840267416,16.58204593400167,2.4689802927737428,1344.2661198564995,0.31510978841748377,29.76925727310419,-0.04876471954368622,-2.1694847520189775,-1.2382211759678938
1.4,4,lam1_kmean_4,2.197802197802198,0.12456923167933023,15.24545720983755,36223,117.4220181336033,609302.8520952675,16.781895239047824,2.365207582454127,1310.5887297269544,0.3083072050296475,31.388906564896004,-0.022490414112298796,-0.5498354602271647,-0.17004616235350056
1.5,3,lam2_kmean_3,1.9679535433917625,0.09998581312631737,14.937063372290428,36464,116.79484415370244,610253.0607030953,16.673013949176354,2.4280647986646096,1348.8481451585646,0.3144545318238955,29.950321162779364,-0.052339507608251346,-1.9884208623438049,-0.7972201422543606
1.5,4,lam2_kmean_4,2.791857752031539,0.14542435938560996,15.499154951968672,36246,119.91074027778508,606508.5243250369,17.099605864836906,2.247477727277462,1222.3955720851407,0.2915733320405248,35.62491450511433,0.0463158072702371,3.686172479991164,2.318675981828278
1.6,3,lam2_kmean_3,2.758081475290502,0.14230981568683182,15.351097423482878,36068,116.7737714077278,603486.8506351373,16.687385912060314,2.3746730037827493,1333.0539052928293,0.31266448193247903,31.082409761334386,-0.04001721420331017,-0.8563322637887829,-0.8182928882289957
1.6,4,lam2_kmean_4,2.2336307923879155,0.1175195308921832,15.0370323870183,36373,117.61484582204426,609480.1310498334,16.776162991607166,2.3923185772939513,1247.4483197690724,0.30029571666453647,32.59923694369801,0.026770244445710856,0.660494918574841,0.022781526087456427
1.7000000000000002,3,lam2_kmean_3,2.7472527472527473,0.14523382908511376,15.298068063050682,36108,117.13093106459287,605098.3898796868,16.717171332945114,2.3812200197024636,1331.718225956806,0.3115548930186344,31.08036442598342,-0.03897514868997698,-0.8583775991397502,-0.4611332313639309
1.7000000000000002,4,lam2_kmean_4,2.1465898432265846,0.10887105123204058,15.3272860163882,36514,118.87807053173778,613529.7220142987,17.003913984132833,2.2897706260654935,1280.5290458662028,0.30101834894242835,32.98317966013525,0.0009614422189151428,1.0444376350120805,1.2860062357809738
1.8,3,lam2_kmean_3,2.0096311640795244,0.09793938816010436,14.72789939499438,36424,115.09737903574215,609670.8167523262,16.441160591817145,2.517598809750135,1433.46174937903,0.32894828024378503,26.17908494426976,-0.11835304584228035,-5.759657080853408,-2.494685260214652
1.8,4,lam2_kmean_4,1.7879776705051105,0.08923981286435007,14.870197775173708,36418,115.6232268663029,610606.2610809456,16.528266781248227,2.4771174527746935,1354.8816172453558,0.31835053899555527,29.936354221607843,-0.05704668021902415,-2.002387803515326,-1.9688374296539024
1.9,3,lam2_kmean_3,2.1038170406486545,0.1099014136802932,15.178928296648351,36342,117.86772273082548,610554.803745676,16.85776879993905,2.348803361236462,1290.821411014195,0.3048163002295562,33.00785922640802,-0.007068418303812107,1.069117201284854,0.27565843486867436
1.9,4,lam2_kmean_4,2.5812158250241235,0.13659937137911846,15.401332312500916,36345,117.77287127838203,609827.9274794621,16.820979243620485,2.3356448140790076,1299.0291583181158,0.306030129834796,31.196811776113112,-0.01347190915441887,-0.741930249010057,0.1808069824252243
2.0,3,lam2_kmean_3,2.6253428122587,0.14481702386902032,15.614213984925765,36571,120.46051552061742,612541.7214223396,17.219194985589564,2.192067530134306,1273.7928135643972,0.2962815989463894,34.26499043505492,0.006216891773456079,2.3262484099317504,2.8684512246606175
2.0,4,lam2_kmean_4,1.9573622596928364,0.10928299666863871,15.108585247470337,36515,118.54645174117863,611106.9587257758,16.900612238310238,2.3491801340667977,1312.8700889614875,0.30564853427665917,31.943123198895087,-0.024270276776723332,0.0043811737719181565,0.9543874452218262
2.1,3,lam2_kmean_3,1.6199860761527338,0.08656830035521201,14.714628103072293,36741,116.87042801585612,615439.6739314983,16.707328285637804,2.439617008876122,1350.9940489595965,0.31450103819656694,30.21972193984193,-0.0540136911384419,-1.7190200852812403,-0.7216362801006824
2.1,4,lam2_kmean_4,2.156029894080327,0.1087768169809337,14.919524194157216,36396,116.90048796008297,609051.5422720322,16.690154986569468,2.4275433929299273,1343.5223510658082,0.3135495082094202,29.92835756055718,-0.048184448676443115,-2.0103844645659876,-0.6915763358738332
2.2,3,lam2_kmean_3,1.7956656346749225,0.09694197682012004,15.00238863452083,36478,116.9603848841471,612404.5752533942,16.70932599027388,2.407664047970467,1345.9805151402143,0.3136754991188942,29.754637262429856,-0.0501022503066455,-2.1841047626933126,-0.6316794118096993
2.2,4,lam2_kmean_4,2.2827112249023043,0.12044608041701434,14.959520931747177,36258,116.30725901605155,610147.8807982064,16.635489516689216,2.439468741160865,1387.3348250060826,0.32024608050733644,27.365343735115754,-0.08236590744101568,-4.573398290007415,-1.2848052799052567
2.3,3,lam2_kmean_3,2.969579913085466,0.15404493728850902,15.428961083019871,36171,117.94530146942792,605413.2324425735,16.856563569242,2.320622261778312,1275.9139699419889,0.30285172485920997,32.615195041308105,0.004562015599316682,0.6764530161849365,0.35323717347111483
2.3,4,lam2_kmean_4,2.0380142149472324,0.1050423028906775,15.028593228863983,36387,117.8343850054638,611324.7894083462,16.851765920428353,2.3692629909325227,1302.6438648501774,0.30629563636704105,31.838417721858693,-0.01629201793074886,-0.10032430326447539,0.24232070950699836
2.4000000000000004,3,lam2_kmean_3,1.8038392160030152,0.09795641433727116,14.97688973044851,36473,117.77937429017251,611392.7319402855,16.814374106496448,2.3838196218241743,1260.3618726239804,0.3014243864832277,34.40813716330549,0.01669539509993112,2.469395138182321,0.1873099942157097
2.4000000000000004,4,lam2_kmean_4,2.134779909858851,0.11016828743299191,15.130149187420036,36262,116.32002245861271,609051.6375932961,16.639668970985483,2.4124583432170965,1356.385613964747,0.3166191000253523,28.14121230234291,-0.058220062984763565,-3.797529722780258,-1.2720418373440907
2.5,3,lam2_kmean_3,2.6301649562086937,0.13242775781329225,15.373100534134819,36243,118.9464339720515,607221.5454273229,16.971864399841824,2.2957443257868033,1252.2321374851722,0.29750275808011756,33.84111961696447,0.023038022699387928,1.9023775918413008,1.3543696760946915
